dataset_name,adacapnetselu,regularnetglu,adacapnetglu,adacapnetresblock,CAT,regularnetstandard,adacapnetstandard,adacapnetfastselu,adacapnetbatchresblock,regularnetselu,adacapnetfast,regularnetresblock,regularnetfast,regularnetfastselu,RF,regularnetbatchresblock,adacapnetbatchstandard,XGBoost,LGBM,XRF,CATfast,xgb_sklearn,NuSVM,MARS,Enet,Lasso,regularnetbatchstandard,Ridge,Kernel,CART,Intercept
Abaloneabalone.data_task_R_target_-1,0.6510502051228764,0.6572379666415344,0.6579955678893427,0.6548278616167758,0.6794281376677244,0.6605585823867335,0.6548954499459627,0.650507949740442,0.6542872799925872,0.6541782659623143,0.6536073274502749,0.6698749205625913,0.659251483968653,0.6491711302136088,0.6825181539706875,0.658111134047951,0.6695965891705297,0.7101958838161828,0.6862776096422076,0.6864501802756096,0.6893741544349987,0.6793792513579805,0.6715061113454193,0.6732908086452951,0.6923783701928096,0.6924592079804175,0.6574622548035501,0.6925498240198198,0.6920352179835784,0.9346620836975903,1.0006390708220168
Appliances energy predictionenergydata_complete.csv_task_R_target_2,0.6024154808372975,0.5861148055877763,0.6082597038926562,0.6048615649012347,0.5928000899851666,0.5831520733395755,0.6030770598511253,0.6123783205303563,0.6012249112549621,0.6271985751063819,0.6007941542816171,0.5747764594723865,0.5980965071778482,0.7249208900644909,0.5847012809830928,0.688639139263802,0.6997069072645864,0.594647864187206,0.6218950993745479,0.5527131086430187,0.7904815153017677,0.7735320565920636,0.8138093255954943,0.8568325886468646,0.873976215508854,0.8739756322017014,0.6567649177221467,0.8739999371655094,0.8739926636652813,0.7839249976242397,1.0000535514649542
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,0.3973563737497627,0.34691935344944624,0.37491320359368385,0.4006821339649644,0.47188511971136615,0.3779628345630034,0.411323063401727,0.45229185519955617,0.46152226704968535,0.4932976157240824,0.4450583182011883,0.34735168456385324,0.4547722332470444,0.566605032873493,0.3786432605092284,0.3983195716713891,0.5645036972583941,0.4689995737877021,0.5316634365331974,0.3598008643138244,0.6703525112800794,0.691873954496816,0.626108614257028,0.7745002438783933,0.7763704744259279,0.7763820034026864,0.46583805000744904,0.7764084286563545,0.7763791057368716,0.5403586869792895,1.0001116078735504
Communities and Crimecommunities.data_task_R_target_-1,0.5737827358619847,0.57538004471379,0.576933177589229,0.5698349219936211,0.5683290966395403,0.5741739133857262,0.5670719755487564,0.5737482146533297,0.576958044652404,0.5779952661435164,0.5678062952405634,0.5719300108757981,0.5873288825808384,0.5829750761701205,0.5796241785645829,0.5889101433670018,0.5678371862732474,0.6137530976778935,0.5753186521895175,0.5716095306454061,0.5841379891059807,0.5767075035622662,0.5781689444553768,0.576164737842002,0.5679977264333547,0.5682250946903463,0.5828702256796094,0.5656594474851384,0.5662977045140416,0.8173423527103889,1.0014341993702636
Computer Hardwaremachine.data_task_R_target_-1,0.03514612764528856,0.037094046675419254,0.03956648132870192,0.04788505005342105,0.1376325064524134,0.0655514137394984,0.05241031747660452,0.037501686861823896,0.045831205290448346,0.03733183512884249,0.05857715046809965,0.07185529407502571,0.07580080043259942,0.0483498238529688,0.15628182045510058,0.12812187271469178,0.07716982767350562,0.16282779435743935,0.17963877834771214,0.11428321442485309,0.1547791333326298,0.13389809676820344,0.23556021225536306,0.16981786674306062,0.2344732901383495,0.23459877044863195,0.48690098170478907,0.2315164651109333,0.23018840706258836,0.20311419830070357,1.0094583842297093
Concrete Slump Testslump_test.data_task_R_target_-1,0.10312233617034841,0.1417978871963652,0.10296117894257159,0.14364712946098324,0.4294820506333933,0.18663924100700058,0.1459351588054818,0.10632651965871312,0.1440811006113269,0.12329458884216533,0.15992275669758793,0.20190507900046128,0.1936411172323102,0.14435374029821,0.49933272532776335,0.23933411512252714,0.16530167681509958,0.47243506939348795,0.4710869168105405,0.3442100179145351,0.41631453406172875,0.41989350823414595,0.40867377599673055,0.24365644723313773,0.3129162121841193,0.31444075127271476,0.604031729436741,0.3084115636444503,0.30695073648010124,0.6173752484700309,1.0442776208498066
Concrete Slump Testslump_test.data_task_R_target_-2,0.30787071457889426,0.3694334634181825,0.3139729147005513,0.3398459791782471,0.3769511637466761,0.35755081398388466,0.3271018073515282,0.30255519546521004,0.3408639184504483,0.3097405864166087,0.32605676022745766,0.3634451178310075,0.36516595604902263,0.31785032875440666,0.33968065702811695,0.3650148173345091,0.3251881008613402,0.36823232798843397,0.4022958137887426,0.3281286516483606,0.36432686377209433,0.34372049101304014,0.39700412036840793,0.3188367482399857,0.32289483341280156,0.32674276699854676,0.5781997875580012,0.3180093438945482,0.3127098363456213,0.43730489175480247,1.0250375901465634
Concrete Slump Testslump_test.data_task_R_target_-3,0.35923011239419084,0.4273316394163175,0.4078841464663455,0.42740404989106284,0.40504473940771213,0.4139750196486987,0.4039881702414454,0.38868152833559005,0.4175521639026608,0.39923685519368546,0.42096628252530766,0.4193395117488864,0.43729332069583576,0.39106222481744657,0.37577162159273364,0.45016433179443743,0.4121505427168669,0.37746851413648225,0.5048431167147768,0.3579712304877596,0.39565625512034036,0.38980151145131486,0.4938164633450956,0.37325802155088594,0.3643989221864305,0.3633131465254744,0.590508386933563,0.364308526655941,0.35483139678002074,0.4793558141788563,1.0348236971922167
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,0.16816267115749822,0.15892618560628863,0.15052776746940283,0.16901884083662586,0.17064492356185612,0.16717472108839132,0.17391021164435203,0.1790106764983313,0.16648544561567014,0.17060301567452615,0.17398638923909465,0.16313407235480154,0.16786891341765312,0.20534367493967026,0.28439200635195666,0.15510198267471412,0.24566625154765856,0.22437240716093182,0.2253759473652758,0.2785581937834901,0.2637632215109648,0.2923779445705067,0.17778178665826844,0.3698103322344442,0.429072596100721,0.4290639508422086,0.1534661517199317,0.4291052547994211,0.42903882199850935,0.45055761160373003,1.000400521724369
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,0.24359300461965713,0.22370550806342018,0.24334070628663768,0.245065870426817,0.19641302718679193,0.23055103571842062,0.25263780851628787,0.2564106047632898,0.2556446624131626,0.2459423769625882,0.26018020307670653,0.22422862505796698,0.2444300020332883,0.2527513385339592,0.36229878323036985,0.2637398873943405,0.27285772611868436,0.2691471241644624,0.3144085178205879,0.2513413775271883,0.3187560493640313,0.3294224297935694,0.31707379833164284,0.3909395226632671,0.4643471954960806,0.46440959257668135,0.3831442494973484,0.46436705060130584,0.46340041178021674,0.4120265556834422,1.0065727280509322
