dataset_name,adacapnetselu,adacapnetglu,regularnetglu,regularnetselu,adacapnetresblock,adacapnetfastselu,adacapnetstandard,adacapnetbatchresblock,regularnetstandard,adacapnetfast,regularnetresblock,regularnetfastselu,regularnetfast,adacapnetbatchstandard,CAT,XRF,regularnetbatchresblock,xgb_sklearn,XGBoost,RF,CATfast,LGBM,MARS,NuSVM,Enet,Lasso,Ridge,Kernel,CART,regularnetbatchstandard,Intercept
Abaloneabalone.data_task_R_target_-1,1.0060883346484732,1.0168981852244219,1.015443152158123,1.0108603236836289,1.0118014045515136,1.0052582021835499,1.0119717541362565,1.0109518055670264,1.0207394488453,1.0099396812124752,1.0352221932888086,1.0031659550490462,1.01873676513714,1.0347930063658475,1.0499007311141004,1.0607226469963749,1.0169108114248684,1.0499150977580407,1.0972858478788112,1.0546803193787817,1.0653560775121345,1.0606724040205588,1.040511365826671,1.0378219193661775,1.0700413017156403,1.0701579367124456,1.0702847719225406,1.0694942360381974,1.4444499932717734,1.0157522866603192,1.547337844267453
Appliances energy predictionenergydata_complete.csv_task_R_target_2,1.0899220189771281,1.100436162363536,1.0604314203384095,1.134851219875811,1.0943631842636192,1.1080174259392508,1.0911826681243133,1.0878357412381447,1.0550538413204573,1.0870270672282345,1.0398547226850245,1.311842381961982,1.082095243749678,1.2660896418984398,1.0725146761739073,1.0,1.2453740946045722,1.3999181546980997,1.0758281375435674,1.0578536987785914,1.4306102630037305,1.1253094579368512,1.5506322143276858,1.4727599675446645,1.581646384719084,1.5816453320961306,1.5816890470490372,1.5816758092515846,1.4184483176299747,1.1884859602826128,1.8098519724948705
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,1.1521378927036898,1.0868360505842305,1.0054219035000722,1.430309343551984,1.1617352813349873,1.3111001563094622,1.192543690802797,1.3378926774069868,1.095599308399683,1.2901699725226694,1.0068342287127057,1.6430037713200374,1.3186338495093228,1.6368716622292232,1.3682155563468932,1.043066636849535,1.1547809561699012,2.006387168479938,1.3598728532496476,1.0978254168222037,1.944005102815808,1.5415104671836792,2.245985966292749,1.8155552636440213,2.2513998984696904,2.251433226178931,2.251509225149852,2.2514251085491477,1.5673296087485247,1.3506739688160452,2.9004924456100123
Communities and Crimecommunities.data_task_R_target_-1,1.028883131830795,1.0338919724302413,1.0310876877987625,1.0358126293541114,1.0211257701767953,1.0280991223774394,1.016108081487761,1.0340929514698365,1.0287569417724998,1.0173542197378849,1.0249831911511549,1.044758643759395,1.0531859993671397,1.0174967058162716,1.018708414499383,1.024747114712427,1.0548658415450713,1.0337160894713469,1.100138306345079,1.0391416238051314,1.0472344420628776,1.0313000051886576,1.0325482124933456,1.0365882708404843,1.0179210639385383,1.0183367550379185,1.0136072805381184,1.0146504696230816,1.4655320218666419,1.04470531427486,1.7980198130622163
Computer Hardwaremachine.data_task_R_target_-1,1.2172008727539836,1.3272277621414184,1.294188115861823,1.292286696568717,1.5907097384192503,1.272113651806384,1.7480448955134213,1.5379493859923332,2.241794859330917,1.9809443035789864,2.451300331080204,1.6685236331207185,2.596318182485,2.5996267971957456,4.835645314522386,3.932595059627758,4.42313474793116,4.654146867711444,5.558491874007719,5.424325839270526,5.367090773944289,6.298243317681168,5.985293055029247,8.199497970509702,8.293131402481098,8.296962484306764,8.207080964459925,8.162228177732008,7.112034071926416,17.391689696685503,36.00628984385169
Concrete Slump Testslump_test.data_task_R_target_-1,1.1279515718603321,1.1295236607752828,1.5434165083581188,1.344170000492689,1.5524328027055536,1.1600214414145076,1.5778411606331857,1.5613143171746522,2.060418006839782,1.748846997439643,2.21492634090461,1.5715511937467146,2.1126391491886514,1.784439123243954,4.886807223931023,3.8211513671460446,2.652131339706108,4.74439062591564,5.3699925212928825,5.646775366292669,4.589461938231996,5.319853330416522,2.671339633085509,4.640441703807164,3.4160629635380415,3.4318884396700335,3.361787456939099,3.3462389661622867,6.894850720372243,6.74630917528029,11.736357168663844
Concrete Slump Testslump_test.data_task_R_target_-2,1.1182238982100954,1.1463545493313572,1.3454500093518664,1.1255764459588966,1.2365345229021094,1.0997765356596134,1.1992545036531896,1.2372417445959596,1.2902855824561796,1.194341192633055,1.3296654765482405,1.151331143254303,1.3144356891140134,1.1892822980130595,1.3805390785600289,1.1790195442337905,1.347834177908931,1.249512857167053,1.3327522548477195,1.2286676812046702,1.3272424940951635,1.488952282011891,1.166518645184394,1.437019391691519,1.1762743369562652,1.1903830892301284,1.159790119198081,1.137916998913793,1.5751121870883638,2.1472298663557923,3.867769719034297
Concrete Slump Testslump_test.data_task_R_target_-3,1.2197026966356597,1.4396331710317065,1.5133291002322231,1.3624502370568143,1.5057266086862533,1.3220557382265485,1.449842501868488,1.467808347656105,1.4484552425364003,1.5173356137573433,1.4969670864538764,1.335099902790901,1.575402063862337,1.4901169670316112,1.4039896373449767,1.1930236587259269,1.648654894191191,1.3076813870392532,1.2613176438911569,1.2584852468620773,1.4098760815220757,1.8120242963232382,1.268198739965158,1.7393185699533678,1.2918093721382444,1.2884686831582013,1.294902107362852,1.2531626250459191,1.6220656975125411,2.1962396116535507,3.842258104555673
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,1.118078388013084,1.0009668383855395,1.0567040801441077,1.1343299258706208,1.1241299246592713,1.1903203062591885,1.1565451686340062,1.1071355288019347,1.111564881071979,1.1571505480292161,1.0847714155798844,1.3656839129312293,1.1163628005932718,1.633711124557113,1.1348060337884207,1.8529438982600055,1.031386560375259,1.9450536702554841,1.49231675469272,1.8916880763778212,1.754446217628658,1.4990818147758127,2.460156832897851,1.1825180981686598,2.85416157175709,2.8541046566934765,2.8543700156895304,2.8539280072489643,2.997911199927051,1.0204358351306209,6.655840159166386
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,1.3318382872408279,1.3357835949435968,1.2021752052004064,1.348038075718798,1.3463254511380267,1.4130372298993907,1.3997686576980715,1.4141764909055043,1.2441220265719424,1.4448038009964588,1.2055928785172472,1.399825745268865,1.3407423246530747,1.5371719050946298,1.041562771079656,1.3209151919470798,1.4892476566048447,1.7829038564949076,1.4264334194881576,1.9346521983033942,1.7888142144730252,1.682308475288237,2.2106232175460483,1.7892207939861855,2.7061415081117777,2.7066567540150404,2.7071530917401043,2.7024233663070474,2.2243200788432835,2.2213830623703346,6.032546202535042
