dataset_name,adacapnetselu,regularnetglu,adacapnetglu,adacapnetresblock,CAT,regularnetstandard,adacapnetstandard,regularnetselu,adacapnetbatchresblock,regularnetresblock,adacapnetfastselu,adacapnetfast,regularnetfast,regularnetfastselu,XGBoost,XRF,adacapnetbatchstandard,RF,regularnetbatchresblock,xgb_sklearn,LGBM,CATfast,NuSVM,MARS,Enet,Lasso,Ridge,Kernel,CART,regularnetbatchstandard,Intercept
Abaloneabalone.data_task_R_target_-1,0.9583595231123849,0.9673303892416157,0.9687371971165005,0.9637847597927566,1.0,0.9723103072523696,0.9639501346670614,0.9629293744892184,0.9629582523419586,0.9861508016257071,0.9575670241529277,0.9620330588217622,0.9704024892217392,0.9555822068293974,1.0451458461020102,1.010375030712186,0.9856542195410329,1.0045406605627913,0.9686235083456894,0.9999603793855609,1.0102637411859576,1.0146596107463979,0.9885534086276196,0.9911304506191752,1.0192116484902245,1.0193228643838066,1.019448262956212,1.0186929151118753,1.375718123934916,0.9675755832378365,1.4739673792984054
Appliances energy predictionenergydata_complete.csv_task_R_target_2,1.0163196289136438,0.9888859587457353,1.0261083130645179,1.020501236933131,1.0,0.9837625108122868,1.0174880805217872,1.0581771067636274,1.0143743447813462,0.9696472310485653,1.0331461414872734,1.0136301666816325,1.0090873737397208,1.223194527238806,1.0030648533082065,0.9325370931797407,1.180497974260114,0.9864898687247227,1.1631710141356397,1.305358435160189,1.0492724026599116,1.333931370254627,1.373338814241622,1.4459870268937254,1.474890140780166,1.474889182197253,1.4749292564784047,1.4749167639271943,1.3227361927022099,1.1081899263521424,1.6877774194664632
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,0.8421570591938832,0.7351320591703694,0.7945191595456083,0.8491296724208949,1.0,0.8009476952166192,0.8717030748276227,1.0453851915489958,0.9780317724690389,0.7360849842749613,0.9584076567038944,0.9430771621842237,0.9637850875557061,1.2008054195401354,0.9939303730083813,0.7624632135870659,1.1963425711363054,0.8023749375423186,0.8441035322672537,1.4663911433597019,1.1267098305502505,1.4207400468034561,1.3269337310494158,1.6415470541840609,1.6454982393459805,1.6455228713827785,1.6455792466439008,1.6455170593882837,1.1455272997287447,0.9871808073111505,2.119761237195773
Communities and Crimecommunities.data_task_R_target_-1,1.0103511630126811,1.0122963617217813,1.0151602049221968,1.0026643883187503,1.0,1.010176061288852,0.997752120367176,1.0170485625522658,1.0153519251973084,1.0064785692957925,1.0094929329041669,0.9990166839130616,1.0340775974731926,1.02575087813769,1.080177517911218,1.00602185139352,0.9991479909035459,1.0200669987277184,1.0355689068425078,1.0146309294661666,1.01233387232678,1.0280826046229923,1.017741523401746,1.0138274840148986,0.9994572066276423,0.9998613501290606,0.9952797150105811,0.9963360682574877,1.438894644028366,1.0256945115758067,1.7652054031522855
Computer Hardwaremachine.data_task_R_target_-1,0.27678080926262555,0.2890949585790661,0.31725410687321964,0.37994189135458856,1.0,0.5317316797778641,0.4270748863965609,0.29333527692067524,0.3724351753300059,0.5713065971868199,0.30033688406855386,0.47870435766516384,0.6270555388417214,0.38490575013400063,1.2411935497793032,0.8502914378694528,0.6222942845618227,1.178192191621251,0.9721849566232947,1.0427720112113945,1.429738206399934,1.1921911999936454,1.9054047896369604,1.3438614106917388,1.8827203670198074,1.8825509333949575,1.864337065812857,1.8535722295131567,1.5457213183682228,3.8623217890736696,8.123041528989212
Concrete Slump Testslump_test.data_task_R_target_-1,0.24630463075960626,0.33683821332225083,0.24345101905491454,0.3416876615255068,1.0,0.4401154168666708,0.3457207919458748,0.2952885933311705,0.3435082774499113,0.47637360191850464,0.2542035027426198,0.37910613971085516,0.45814941825184086,0.3458104358161913,1.0965552450785838,0.8119406451355159,0.3924145630255406,1.1665220497021398,0.5657072447419701,0.982624888029686,1.1025806258653907,0.9807261964350339,0.963435326011553,0.5767344810094082,0.7459155850097381,0.7494971012424733,0.7349920468245719,0.731411300708689,1.4395846040817935,1.4247747561758317,2.4560297581766917
Concrete Slump Testslump_test.data_task_R_target_-2,0.8197901593303796,0.9798633177079671,0.8381681705992184,0.9031458986113412,1.0,0.948420509698028,0.875219391068223,0.8248649280398096,0.9058132417984037,0.9695846314200075,0.8046707519968226,0.8705812084759857,0.9655087786944382,0.8440237946932696,0.9715013596830795,0.8665789781098452,0.868977415457523,0.8963168924033227,0.9761686561959235,0.9100302280276121,1.072271854545014,0.9676215488555366,1.0511818330270093,0.8565931723730664,0.8575042613231453,0.868059397813919,0.8452405241451839,0.830151074277088,1.1605909575370883,1.5418813660363064,2.7889806688713175
Concrete Slump Testslump_test.data_task_R_target_-3,0.88621000692315,1.0725004635448858,1.0237897701959011,1.0756665536885293,1.0,1.0359868467391258,1.0282229761518953,0.9790498192448606,1.044811368695894,1.0565658557187607,0.9523992552796672,1.0728934605965157,1.1128659620458783,0.9639740568587236,0.924571291140366,0.8693938816373199,1.0511098104573855,0.9208602062891934,1.151221063976598,0.9589556563677123,1.2923706690471561,0.9994085703937954,1.2386446642136126,0.9265902163506106,0.9273932789966046,0.9247965027151949,0.9291912535576907,0.9025493848152826,1.1815386954267224,1.5447320255441463,2.7032370978559137
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,0.9854364882873272,0.9311779353112714,0.8822687103806939,0.990697832325566,1.0,0.9795417222673486,1.0192071516817929,0.9997452417486203,0.975665912164693,0.9559801759493276,1.0489915589475323,1.019732723775411,0.9837991346776741,1.2034695872415275,1.3151488629639867,1.632887834068073,1.439658986817271,1.6670294465382205,0.9090072637831433,1.7141152864563747,1.3210830625702603,1.5461679803567374,1.0419807514669261,2.167897944697838,2.515295337815778,2.5152449429679784,2.5154770833913886,2.515091343272711,2.641636784070959,0.8993007563946259,5.866062608469152
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,1.2935222281972851,1.1680019775132844,1.3023108143682471,1.3098463051276454,1.0,1.2096117961189494,1.3610059729295219,1.3115399104524996,1.3766571542046948,1.1737856546420176,1.3730101155714662,1.4017735272715206,1.3010931453940862,1.3592400818804005,1.3674969188515413,1.2832499298851772,1.4942204733268396,1.8600347051888513,1.4489105846280057,1.7239848833504698,1.6202941401683209,1.7305142916382898,1.7342656574653035,2.1450709014347877,2.62556351208517,2.6261506581994594,2.6264747585750454,2.6226184918406092,2.1328127724959387,2.154213963115333,5.856723307126702
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,1.2885056508236434,1.3227022524607652,1.4458144823164993,1.2420980569503721,1.0,1.1968460106514178,1.2519344350502992,1.2446088248125984,1.2720607639326569,1.1902931448079164,1.427231033172797,1.2373078636580819,1.2260492296134127,1.3573968568447818,1.1050826491053733,1.1967701368995616,1.252734648972934,1.3746540073063362,1.236530007739674,1.266490978325579,1.163142052133773,1.3061656444727736,1.2292600568821572,2.520789023439809,2.49297533785195,2.4960165435329964,2.540221909778376,2.436550883279923,1.6976906321402097,3.010036294648534,11.449576505978666
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,1.0388122460001328,1.1376179199816456,1.0585797545388367,1.0919057584031622,1.0,1.1164161575452343,1.0792970368827597,1.0757610668742796,1.075272324870521,1.104016902465058,1.0401359877570726,1.1094127519936055,1.1355135819734472,1.0111137812134896,1.2437312239492424,1.1978569291165893,1.091449065209426,1.350375672550685,1.0973406691244345,1.1829074754420392,1.2000797240940062,1.1882312707322107,1.0943437234584124,1.4653255664753058,1.4963702763017697,1.488405551983192,1.4957365848654474,1.483688946495826,1.7495668269886953,1.4175177002519859,4.2889833900401335
