dataset_name,adacapnetfast,CAT,adacapnetselu,adacapnetglu,regularnetglu,regularnetselu,regularnetfast,XRF,MARS,Kernel,XGBoost,xgb_sklearn,Lasso,Enet,LGBM,Ridge,regularnetfast_bagging,adacapnetselu_bagging,Kernel_bagging,adacapnetfast_bagging,Ridge_bagging,MARS_bagging,Enet_bagging,Lasso_bagging,xgb_sklearn_bagging,LGBM_bagging,XRF_bagging,regularnetselu_bagging,XGBoost_bagging,regularnetglu_bagging,adacapnetglu_bagging,CAT_bagging
Abaloneabalone.data_task_R_target_-1,253.01867218017577,64.63805868625641,5.738872528076172,5.616656112670898,3.2795785427093507,2.3813348054885863,1.081713652610779,0.6729719400405884,0.34126720428466795,0.4505211114883423,0.2963846683502197,0.41842854022979736,0.07927680015563959,0.07446243762969966,0.10530705451965328,0.032888531684875454,0.0006914138793945,0.0008869171142578,0.0004606246948242,0.0007286071777343,0.0004527568817138,0.0004103183746337,0.0004301071166992,0.0004966259002685,0.0006618499755859,0.0004119873046875,0.0005633831024169,0.0003223419189453,0.0004012584686279,0.0003128051757812,0.000319480895996,0.0003273487091064
Computer Hardwaremachine.data_task_R_target_-1,248.83350834846496,15.898427772521973,4.4312275648117065,4.271283912658691,3.059457302093506,2.2155068159103393,1.0199801445007324,0.0849208831787109,0.027267813682556097,0.005784988403320251,0.03785803318023676,0.03761429786682123,0.036564517021179146,0.035861301422119116,0.017283916473388613,0.0327715396881103,0.0008866786956787,0.0006022453308105,0.0004322528839111,0.0005433559417724,0.0006515979766845,0.0003671646118164,0.0004444122314453,0.0004680156707763,0.0004756450653076,0.0004849433898925,0.0004446506500244,0.0004749298095703,0.000375747680664,0.0003027915954589,0.0002970695495605,0.0003106594085693
Concrete Slump Testslump_test.data_task_R_target_-1,251.9110497713089,23.42589404582977,4.339505434036255,3.9791746854782106,3.016391658782959,2.16120331287384,0.9809876918792725,0.0776725530624389,0.04953143596649164,0.005480170249938919,0.03440675735473629,0.03206720352172845,0.0465702056884765,0.04539811611175532,0.01410181522369379,0.03604655265808101,0.0004141330718994,0.000378131866455,0.0006706714630126,0.0004565715789794,0.0003674030303955,0.0005578994750976,0.00034999847412099997,0.000385046005249,0.0004479885101318,0.0006625652313232,0.00036859512329099996,0.000281810760498,0.0004093647003173,0.0002808570861816,0.0002884864807128,0.00030303001403799996
Concrete Slump Testslump_test.data_task_R_target_-2,243.36253678798676,23.8819539308548,4.197065663337708,3.803895854949951,2.970096302032471,2.08502459526062,0.9649618625640869,0.07764728069305414,0.061902999877929646,0.0052644014358520005,0.029707169532775846,0.03224847316741939,0.03730452060699459,0.036952161788940376,0.014215350151061961,0.03420746326446526,0.0004348754882812,0.0003187656402587,0.0007126331329345,0.0004723072052001,0.0003955364227294,0.0006177425384521,0.0004065036773681,0.0005521774291992,0.0003983974456787,0.0003535747528076,0.0003764629364013,0.0006189346313476,0.0003893375396728,0.0003182888031005,0.0005614757537841,0.0003085136413574
Concrete Slump Testslump_test.data_task_R_target_-3,243.07083563804622,24.003176426887514,4.204520320892334,3.7920085191726685,2.9186637878417967,2.0759212732315064,0.9721211433410645,0.0773082017898559,0.04083652496337885,0.008455991744995072,0.02840032577514644,0.03172471523284906,0.039696192741394,0.03919920921325678,0.013692259788513132,0.03358650207519525,0.0006990432739257,0.00040864944458,0.0003807544708251,0.0005943775177001,0.0004324913024902,0.0005290508270263,0.0006425380706787,0.0006539821624755,0.0003724098205566,0.0003325939178466,0.0004467964172363,0.0003063678741455,0.00036168098449699995,0.0006225109100341,0.0002887248992919,0.0003054141998291
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,251.02529079914092,44.44427366256714,4.389431095123291,4.004090738296509,3.037923979759216,2.274349498748779,1.0448260307312012,0.200879955291748,0.45056488513946535,0.011629414558410569,0.11755416393280024,0.0976746559143066,0.06546866893768308,0.06750068664550776,0.0406824111938476,0.037519145011901796,0.0003883838653564,0.0009593963623046,0.0003800392150878,0.0004723072052001,0.0003631114959716,0.0006346702575683,0.0005006790161132,0.0004146099090576,0.0004630088806152,0.0004451274871826,0.0004208087921142,0.0003237724304199,0.000389814376831,0.000288963317871,0.0004210472106933,0.0003209114074707
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,245.09302897453304,44.21299924850464,4.332721018791199,3.937460207939148,2.9515257596969606,2.2492628574371336,1.0162476539611816,0.19594883918762204,0.05339703559875484,0.012476682662963829,0.11592361927032468,0.09724795818328853,0.051939582824706974,0.05471673011779782,0.041067290306091256,0.03882408142089837,0.000389814376831,0.0004136562347412,0.0006747245788574,0.0005831718444824,0.0003914833068847,0.0007991790771484,0.0003590583801269,0.0005357265472412,0.0004503726959228,0.0005722045898437,0.0003585815429687,0.0003042221069335,0.000450849533081,0.0005328655242919,0.0002822875976562,0.0003151893615722
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,245.33657584190368,44.68887732028961,4.305724883079529,3.859724259376526,2.9219141244888305,2.2194019317626954,0.9702451229095459,0.20709080696105958,0.16768395900726316,0.010969781875610301,0.116899037361145,0.09435918331146234,0.06208522319793697,0.057710838317871035,0.04178941249847405,0.0409178733825683,0.0004618167877197,0.0005784034729003,0.0005769729614257,0.000495433807373,0.0004701614379882,0.0004632472991943,0.0004451274871826,0.0004725456237792,0.0003957748413085,0.0004572868347167,0.0004389286041259,0.00042963027954099996,0.0003707408905029,0.0002813339233398,0.0002861022949218,0.0003206729888916
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,254.55359096527096,46.47869260311127,4.248575615882873,3.7730677127838135,2.8579926252365113,2.0887295961380006,0.9585877895355225,0.24162094593048095,0.2060572862625122,0.010142827033996538,0.13084363937377927,0.10747666358947752,0.04755163192749019,0.046161484718322696,0.04825885295867917,0.03545777797698969,0.0005536079406738,0.0006091594696044,0.000795841217041,0.0004541873931884,0.000648021697998,0.0007433891296386,0.0003972053527832,0.0004513263702392,0.0003707408905029,0.0003678798675537,0.0004818439483642,0.000579833984375,0.0004603862762451,0.0002949237823486,0.0004410743713378,0.0003154277801513
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,241.53393383026128,48.61476373672485,4.261800527572632,3.8642025232315063,2.9890187263488768,2.156997466087341,0.9737910747528076,0.17779085636138917,0.4617626428604126,0.0074118614196776785,0.11476316452026362,0.09244363307952877,0.05179061889648433,0.0500850915908813,0.034953737258911086,0.03471109867095942,0.00046968460083,0.000551700592041,0.0004427433013916,0.0004851818084716,0.0004668235778808,0.0003573894500732,0.0007195472717285,0.00044846534729,0.0007050037384033,0.0004229545593261,0.0004286766052246,0.000333547592163,0.0003468990325927,0.0002813339233398,0.0004205703735351,0.0003113746643066
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,269.20815908908844,83.70735523700714,9.89163875579834,10.1742374420166,4.636249303817749,3.138781523704529,1.3277361154556275,1.6192752838134765,0.23509743213653564,2.922136902809143,0.5642354249954223,0.7784647703170776,0.10123877525329586,0.10196843147277827,0.16374411582946774,0.036963772773742645,0.002021312713623,0.0003583431243896,0.0004372596740722,0.0004825592041015,0.0004539489746093,0.0003933906555175,0.0005130767822265,0.0005321502685546,0.0005156993865966,0.0006451606750488,0.0004293918609619,0.0005877017974853,0.0003917217254638,0.0006382465362548,0.0004096031188964,0.0003285408020019
Servoservo.data_task_R_target_-1,254.0995563030243,9.283930325508118,4.280007600784302,3.8703948259353638,3.1052194833755493,2.201948142051697,0.9781110048294067,0.0891839504241943,0.032267904281616175,0.013520526885986279,0.04302055835723873,0.028975868225097613,0.047881007194519,0.04657480716705319,0.018428158760070736,0.03995540142059321,0.0007703304290771,0.0006382465362548,0.0004596710205078,0.0005121231079101,0.0007932186126708,0.0004158020019531,0.0006542205810546,0.000544786453247,0.0004892349243164,0.00042963027954099996,0.0005474090576171,0.0004880428314208,0.000495433807373,0.00028657913208,0.0002896785736083,0.0003111362457275
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,247.033106303215,10.918133640289307,4.406675624847412,4.225543069839477,3.1985510110855104,2.2558965921401977,1.0606587409973145,0.11961641311645503,0.01485829353332516,0.0060761928558349205,0.04672663211822505,0.04091582298278803,0.041967582702636674,0.04081997871398922,0.021481204032897886,0.03104236125946041,0.0004036426544189,0.000335693359375,0.0003218650817871,0.0004358291625976,0.0004498958587646,0.0003290176391601,0.0004758834838867,0.0004811286926269,0.0006644725799559999,0.0003936290740966,0.0004017353057861,0.0003440380096435,0.0003716945648193,0.0004363059997558,0.0004758834838867,0.0002985000610351
wiki4HEwiki4HE.csv_task_R_target_-10,233.10460424423223,56.588591027259824,4.119726300239563,3.8281379461288454,2.940895748138428,2.086053204536438,1.049147653579712,1.385019016265869,0.816780424118042,0.01861736774444576,0.627915906906128,0.3574620008468628,0.462565016746521,0.43950624465942384,0.09083302021026605,0.05654993057250972,0.0007996559143066,0.0006287097930908,0.000457763671875,0.0004398822784423,0.0007696151733398,0.0003864765167236,0.000504732131958,0.0005216598510742,0.0003817081451416,0.00032639503479000003,0.0005056858062744,0.0005939006805419,0.0005655288696289,0.0002896785736083,0.0002946853637695,0.0003073215484619
wiki4HEwiki4HE.csv_task_R_target_-11,252.0273861646652,56.44726572036743,4.1476316213607785,3.8690603971481323,3.1495891571044923,2.1333653688430787,1.0409641504287719,1.5135148525238038,1.17758047580719,0.0176442146301269,0.6311460018157959,0.36011509895324706,0.39189603328704836,0.3769303560256958,0.09237730503082273,0.05970220565795896,0.0007567405700683,0.00040149688720699997,0.0007190704345703,0.0005722045898437,0.0004658699035644,0.0004670619964599,0.000535249710083,0.0004076957702636,0.0003559589385986,0.0004010200500488,0.0003848075866699,0.0005657672882080001,0.0003583431243896,0.0002875328063964,0.0002887248992919,0.0003108978271484
